,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0,1,No,4.572,9.065,-0.34467658882590424,,,,,,,,
1,1,1,No,4.651,9.314,-0.33134170393956364,,,,,,,,
2,2,1,No,4.457,9.48,-0.2534693737227176,,,,,,,,
3,3,1,No,4.728,9.52,-0.3240974523634419,,,,,,,,
4,4,1,No,4.756,9.109,-0.392036344429856,,,,,,,,
5,5,1,No,4.668,9.298,-0.3385072750180673,,,,,,,,
6,6,1,No,4.399,9.486,-0.23637516300746175,,,,,,,,
7,7,1,No,5.035,9.58,-0.4012428071125014,,,,,,,,
8,8,1,No,4.73,8.89,-0.41853093175246014,,,,,,,,
9,9,1,No,5.069,9.704,-0.39267870129715066,,,,,,,,
10,10,1,No,4.497,9.454,-0.2681969958196897,,,,,,,,
11,11,1,No,4.313,8.913,-0.29013447938680703,,,,,,,,
12,12,1,No,4.444,9.711,-0.22008342331636999,,,,,,,,
13,13,1,No,4.819,9.094,-0.4128023443987945,,,,,,,,
14,14,1,No,4.158,9.43,-0.17558009166184152,,,,,,,,
15,15,1,No,4.456,8.984,-0.3223757284618949,,,,,,,,
16,16,1,No,4.151,9.154,-0.20898595539035036,,,,,,,,
17,17,1,No,4.575,4.624,-1.637865837559672,,,,,,,,
18,18,1,No,7.582999999999999,8.924,-1.2654836115074501,,,,,,,,
19,19,1,No,31.441,50.526,-0.6590553040127229,,,,,,,,
20,20,1,No,32.471,50.928999999999995,-0.699847439218078,,,,,,,,
21,21,1,No,31.500999999999998,50.777,-0.654004675225571,,,,,,,,
22,22,1,No,32.35,51.05,-0.689499116685286,,,,,,,,
23,23,1,No,32.478,51.622,-0.6773893506773352,,,,,,,,
24,24,1,No,32.935,51.724,-0.6976376375523576,,,,,,,,
25,25,1,No,33.241,52.258,-0.695901898120981,,,,,,,,
26,26,1,No,33.001999999999995,52.553000000000004,-0.6742572088533099,,,,,,,,
27,27,1,No,33.376999999999995,52.708,-0.6883022215414241,,,,,,,,
28,28,1,No,33.556,52.725,-0.696809268558779,,,,,,,,
29,29,1,No,33.887,52.81,-0.7107887497018028,,,,,,,,
30,30,1,No,33.586,53.248999999999995,-0.6816137812250485,,,,,,,,
31,31,1,No,34.14,53.483999999999995,-0.7018413324423423,,,,,,,,
32,32,1,No,34.348,53.906000000000006,-0.6988059668571909,,,,,,,,
33,33,1,Timesweep,34.789,54.206,-0.711094577339433,0,4.0,1,2374.0,2544.0,1.072,4.0,-3247.0
34,34,1,Timesweep,34.605,54.406000000000006,-0.6957877233311869,17,4.1889,,,,,,
35,35,1,Timesweep,34.931,54.857,-0.6976900207922168,34,4.3778,,,,,,
36,36,1,Timesweep,34.836999999999996,54.226000000000006,-0.7128234858179998,51,4.5667,,,,,,
