,Scannumber,Timesweep,Status,I0(5.465|4.464),I1(3.168|2.461),conversion,treaction,tres
0,0.0,1.0,No,30.462,55.856,-0.5130670234240755,,
1,1.0,1.0,No,30.491999999999997,55.934,-0.5124450916747627,,
2,2.0,1.0,No,30.433000000000003,56.058,-0.5061795634210913,,
3,3.0,1.0,No,30.523000000000003,56.418,-0.5009945453284868,,
4,4.0,1.0,No,31.107,56.302,-0.5328649382550708,,
5,5.0,1.0,No,31.098000000000003,56.464,-0.5280247967630471,,
6,6.0,1.0,No,31.684,56.548,-0.5545057725509983,,
7,7.0,1.0,No,31.834,57.032,-0.5486104803096319,,
8,8.0,1.0,No,31.723000000000003,56.595,-0.5551266746670764,,
9,9.0,1.0,No,31.84,56.931000000000004,-0.5516502315520742,,
10,10.0,1.0,No,32.291,56.915,-0.5740710743415922,,
11,11.0,1.0,No,32.196,57.217,-0.5611564200821759,,
12,12.0,1.0,No,32.597,56.831,-0.5913361121436203,,
13,13.0,1.0,No,32.559,56.593,-0.5961655198683604,,
14,14.0,1.0,No,32.802,57.045,-0.5953365808490554,,
15,15.0,1.0,No,32.705999999999996,56.426,-0.6081174023141656,,
16,16.0,1.0,No,32.577,56.797,-0.5913117686555054,,
17,17.0,1.0,No,32.796,56.937,-0.5980703028797121,,
18,18.0,1.0,Timesweep,32.793,56.631,-0.6065583448169034,0,4.0
19,19.0,1.0,Timesweep,32.11,56.585,-0.5743763931914865,17,4.1889
20,20.0,1.0,Timesweep,32.846,56.603,-0.6099508682813721,34,4.3778
21,21.0,1.0,Timesweep,32.228,56.706,-0.5767902477990619,51,4.5667
22,22.0,1.0,Timesweep,32.236999999999995,56.403,-0.5857035516001261,68,4.7556
23,23.0,1.0,Timesweep,31.646,56.318999999999996,-0.558954617498356,85,4.9444
24,24.0,1.0,Timesweep,31.423000000000002,56.048,-0.5554537749638351,102,5.1333
25,25.0,1.0,Timesweep,32.066,56.481,-0.5751140111886144,119,5.3222
26,26.0,1.0,Timesweep,31.701,56.316,-0.5617472349134365,136,5.5111
27,27.0,1.0,Timesweep,31.206,56.458,-0.533494414873505,153,5.7
28,28.0,1.0,Timesweep,31.02,56.126999999999995,-0.5333438215349129,170,5.8889
29,29.0,1.0,Timesweep,31.266,56.155,-0.544733182613309,187,6.0778
30,30.0,1.0,Timesweep,31.061,56.245,-0.5321493324624429,204,6.2667
31,31.0,1.0,Timesweep,30.930999999999997,56.401,-0.5215167600300059,221,6.4556
32,32.0,1.0,Timesweep,30.622,56.236000000000004,-0.5107364709373692,238,6.6444
33,33.0,1.0,Timesweep,30.835,56.663999999999994,-0.5097544132235128,255,6.8333
34,34.0,1.0,Timesweep,30.088,56.207,-0.48515745096887963,272,7.0222
35,35.0,1.0,Timesweep,29.967,56.181000000000004,-0.47986938740710183,289,7.2111
36,36.0,1.0,Timesweep,30.04,56.303000000000004,-0.48025990605882796,306,7.4
37,37.0,1.0,Timesweep,29.769000000000002,56.223,-0.4689932983180498,323,7.5889
38,38.0,1.0,Timesweep,30.261,56.943000000000005,-0.47439047131440804,340,7.7778
39,39.0,1.0,Timesweep,29.726999999999997,56.196000000000005,-0.4676255476373812,357,7.9667
40,40.0,1.0,Timesweep,29.483,56.471000000000004,-0.44849092247632716,374,8.1556
41,41.0,1.0,Timesweep,29.142,56.253,-0.437286178096999,391,8.3444
42,42.0,1.0,Timesweep,29.162,56.652,-0.4281428271093306,408,8.5333
43,43.0,1.0,Timesweep,28.480999999999998,55.89,-0.4138088894489669,425,8.7222
44,44.0,1.0,Timesweep,28.287,56.146,-0.3977762369839617,442,8.9111
45,45.0,1.0,Timesweep,28.02,56.36600000000001,-0.3791785639425982,459,9.1
46,46.0,1.0,Timesweep,27.778000000000002,55.876999999999995,-0.3792324811605785,476,9.2889
47,47.0,1.0,Timesweep,27.9,56.163000000000004,-0.3782356808885641,493,9.4778
48,48.0,1.0,Timesweep,28.069000000000003,56.122,-0.3875971044191493,510,9.6667
49,49.0,1.0,Timesweep,27.499000000000002,56.456,-0.3513765559790314,527,9.8556
50,50.0,1.0,Timesweep,27.693,56.86,-0.35124075050920545,544,10.0444
51,51.0,1.0,Timesweep,27.631,56.427,-0.3585612574253576,561,10.2333
52,52.0,1.0,Timesweep,26.758000000000003,55.857,-0.32906317989750833,578,10.4222
53,53.0,1.0,Timesweep,27.154,56.31399999999999,-0.3377871528341181,595,10.6111
54,54.0,1.0,Timesweep,26.82,55.956,-0.3297858145819548,612,10.8
55,55.0,1.0,Timesweep,26.916,56.532,-0.3209480958095081,629,10.9889
56,56.0,1.0,Timesweep,26.570999999999998,56.272,-0.31004173714549776,646,11.1778
57,57.0,1.0,Timesweep,26.31,56.015,-0.30312504482032687,663,11.3667
58,58.0,1.0,Timesweep,26.122,56.246,-0.28849983244109034,680,11.5556
59,59.0,1.0,Timesweep,26.276,55.793,-0.3066194625717944,697,11.7444
60,60.0,1.0,Timesweep,25.98,56.485,-0.2760732285498706,714,11.9333
61,61.0,2.0,No,26.57,56.143,-0.31300240866013707,,
62,62.0,2.0,No,26.166999999999998,56.158,-0.29274207987327006,,
63,63.0,2.0,No,26.179000000000002,56.101000000000006,-0.29464898237941406,,
64,64.0,2.0,No,26.116,56.548,-0.2813240991018138,,
65,65.0,2.0,No,26.419,56.515,-0.29694699353013587,,
66,66.0,2.0,No,26.008000000000003,56.357,-0.28034990516723246,,
67,67.0,2.0,No,26.299,56.413000000000004,-0.2933903701258851,,
68,68.0,2.0,No,25.613000000000003,56.303000000000004,-0.2621137474662041,,
69,69.0,2.0,No,25.697,56.504,-0.2617485522476377,,
70,70.0,2.0,No,26.081,56.085,-0.29017047414498576,,
71,71.0,2.0,No,26.263,56.621,-0.2868750540096141,,
72,72.0,2.0,No,26.065,56.538999999999994,-0.2790254619023269,,
73,73.0,2.0,No,26.031999999999996,56.358000000000004,-0.28150866395895036,,
74,74.0,2.0,No,25.684,56.397,-0.26350289827492146,,
75,75.0,2.0,No,26.211,56.4,-0.2893596358921855,,
76,76.0,2.0,No,26.17,56.825,-0.27771461383650164,,
77,77.0,2.0,No,25.725,56.205,-0.26984295858145746,,
78,78.0,2.0,No,25.949,56.153,-0.282086261001782,,
