,Scannumber,Timesweep,Status,I0(5.701|4.523),I1(3.521|2.225),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0,1,No,19.562,47.958999999999996,-1.7765750693613485,,,,,,,,
1,1,1,No,19.008,46.589,-1.7772777755318114,,,,,,,,
2,2,1,No,19.264,47.825,-1.7419389137628043,,,,,,,,
3,3,1,No,18.304000000000002,46.744,-1.6655474510418773,,,,,,,,
4,4,1,No,19.342,47.915,-1.7478699244238025,,,,,,,,
5,5,1,No,18.313,46.771,-1.6653185635849463,,,,,,,,
6,6,1,No,19.04,48.301,-1.683348658776389,,,,,,,,
7,7,1,No,25.026,45.468999999999994,-2.7466430727779487,,,,,,,,
8,8,1,No,27.019000000000002,46.952,-2.9172515319282133,,,,,,,,
9,9,1,No,26.901999999999997,45.99100000000001,-2.9817867758909977,,,,,,,,
10,10,1,No,27.328000000000003,47.144,-2.9459148129990025,,,,,,,,
11,11,1,No,27.281999999999996,44.836999999999996,-3.141960397646395,,,,,,,,
12,12,1,No,26.927,45.207,-3.054605143840253,,,,,,,,
13,13,1,No,26.44,45.147,-2.986564895391958,,,,,,,,
14,14,1,No,26.656999999999996,45.556000000000004,-2.983198704005729,,,,,,,,
15,15,1,No,26.15,45.368,-2.9236326805742507,,,,,,,,
16,16,1,No,26.148000000000003,45.615,-2.9020881973492485,,,,,,,,
17,17,1,No,25.497,45.058,-2.8519749797996536,,,,,,,,
18,18,1,No,25.563000000000002,45.433,-2.8300698068943975,,,,,,,,
19,19,1,No,26.635,47.183,-2.842673050196292,,,,,,,,
20,20,1,Timesweep,26.829,47.989,-2.8056519735243337,0,4.0,1,657.8,1457.0,2.215,4.0,-12944986417685.0
21,21,1,Timesweep,26.397,47.263999999999996,-2.8018097755758538,17,4.17,,,,,,
22,22,1,Timesweep,26.381,47.501999999999995,-2.7804686663964415,34,4.34,,,,,,
23,23,1,Timesweep,26.180999999999997,47.805,-2.72802823073938,51,4.51,,,,,,
24,24,1,Timesweep,25.425,46.472,-2.7242247536661313,68,4.68,,,,,,
25,25,1,Timesweep,25.435,46.718999999999994,-2.705992088944666,85,4.85,,,,,,
26,26,1,Timesweep,25.482,46.772,-2.708632967657204,102,5.02,,,,,,
27,27,1,Timesweep,25.348000000000003,47.806999999999995,-2.6092626820217846,119,5.19,,,,,,
28,28,1,Timesweep,25.678,48.351000000000006,-2.6151141759946435,136,5.36,,,,,,
29,29,1,Timesweep,24.755,46.898,-2.593146235087549,153,5.53,,,,,,
30,30,1,Timesweep,24.669,45.788000000000004,-2.6674664963363504,170,5.7,,,,,,
31,31,1,Timesweep,25.504,47.553999999999995,-2.6507957016346935,187,5.87,,,,,,
32,32,1,Timesweep,24.789,46.398,-2.636855376237109,204,6.04,,,,,,
33,33,1,Timesweep,24.732,47.21,-2.5660836122804302,221,6.21,,,,,,
34,34,1,Timesweep,24.318,47.245,-2.5037917447979074,238,6.38,,,,,,
35,35,1,Timesweep,24.39,47.481,-2.4966988241700356,255,6.55,,,,,,
36,36,1,Timesweep,24.241999999999997,47.177,-2.4978760081209783,272,6.72,,,,,,
37,37,1,Timesweep,24.646,47.235,-2.5518025010452425,289,6.89,,,,,,
38,38,1,Timesweep,24.219,47.458,-2.4738659791341115,306,7.06,2,672.6,1843.0,2.74,7.0,-11414160345312.0
39,39,1,Timesweep,24.035,47.972,-2.410535588650305,323,7.23,,,,,,
40,40,1,Timesweep,23.899,48.863,-2.3293993165519606,340,7.4,,,,,,
41,41,1,Timesweep,24.410999999999998,48.84,-2.4023281600652653,357,7.57,,,,,,
42,42,1,Timesweep,24.563000000000002,48.477,-2.449149007432287,374,7.74,,,,,,
43,43,1,Timesweep,23.541,43.566,-2.6782691479062426,391,7.91,,,,,,
44,44,1,Timesweep,23.759,47.351000000000006,-2.415586485823131,408,8.08,,,,,,
