,Scannumber,Timesweep,Status,I0(5.877|4.611),I1(3.963|2.343),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0,1,No,28.513,77.198,0.630651053,,,,,,,,
1,1,1,No,30.413,79.912,0.619418861,,,,,,,,
2,2,1,No,31.204,79.027,0.605147608,,,,,,,,
3,3,1,No,32.382,75.202,0.56939975,,,,,,,,
4,4,1,No,24.936,52.999,0.529500557,,,,,,,,
5,5,1,No,46.877,92.731,0.494484045,,,,,,,,
6,6,1,No,46.922,93.466,0.497977874,,,,,,,,
7,7,1,No,46.27,93.856,0.50701074,,,,,,,,
8,8,1,No,47.188,94.104,0.49855479,,,,,,,,
9,9,1,No,46.69,93.2,0.499034335,,,,,,,,
10,10,1,No,46.756,93.554,0.500224469,,,,,,,,
11,11,1,No,46.553,92.462,0.496517488,,,,,,,,
12,12,1,No,46.374,93.707,0.505117014,,,,,,,,
13,13,1,No,46.281,93.135,0.50307618,,,,,,,,
14,14,1,No,46.38,92.428,0.498204007,,,,,,,,
15,15,1,No,46.732,93.719,0.50136045,,,,,,,,
16,16,1,No,46.557,93.127,0.500069797,,,,,,,,
17,17,1,No,46.647,92.279,0.494500374,,,,,,,,
18,18,1,No,46.463,92.702,0.498791828,,,,,,,,
19,19,1,No,46.656,92.664,0.496503497,,,,,,,,
20,20,1,Timesweep,46.42,92.831,0.499951525,0,1,1,GPC expected,GPC expected,GPC expected,1,2016
21,21,1,Timesweep,46.678,93.269,0.499533607,17,1.255,,,,,,
22,22,1,Timesweep,46.789,93.471,0.49942763,34,1.51,,,,,,
23,23,1,Timesweep,46.222,92.492,0.500259482,51,1.765,,,,,,
24,24,1,Timesweep,47.074,94.473,0.501720068,68,2.02,,,,,,
25,25,1,Timesweep,46.262,92.655,0.500706924,85,2.275,,,,,,
26,26,1,Timesweep,46.37,93.841,0.505866306,102,2.53,,,,,,
27,27,1,Timesweep,46.259,93.747,0.506554876,119,2.785,,,,,,
28,28,1,Timesweep,45.875,93.881,0.511349474,136,3.04,,,,,,
29,29,1,Timesweep,45.263,92.375,0.510008119,153,3.295,,,,,,
30,30,1,Timesweep,45.632,93.279,0.510800931,170,3.55,,,,,,
31,31,1,Timesweep,45.652,93.389,0.511162985,187,3.805,,,,,,
32,32,1,Timesweep,45.178,93.955,0.519152786,204,4.06,,,,,,
33,33,1,Timesweep,44.783,92.806,0.517455768,221,4.315,,,,,,
34,34,1,Timesweep,44.571,93.652,0.524078503,238,4.57,,,,,,
35,35,1,Timesweep,44.462,93.715,0.525561543,255,4.825,,,,,,
36,36,1,Timesweep,44.747,93.9,0.523461129,272,5.08,,,,,,
37,37,1,Timesweep,44.947,93.687,0.520242937,289,5.335,,,,,,
38,38,1,Timesweep,44.182,93.923,0.52959339,306,5.59,,,,,,
39,39,1,Timesweep,44.14,94.582,0.533315007,323,5.845,,,,,,
40,40,1,Timesweep,44.615,94.9,0.529873551,340,6.1,,,,,,
41,41,1,Timesweep,44.064,94.61,0.534256421,357,6.355,,,,,,
42,42,1,Timesweep,40.585,87.034,0.533687984,374,6.61,,,,,,
43,43,1,Timesweep,43.937,94.964,0.537329936,391,6.865,,,,,,
44,44,1,Timesweep,43.16,94.08,0.541241497,408,7.12,,,,,,
45,45,1,Timesweep,43.22,95.166,0.545846206,425,7.375,,,,,,
46,46,1,Timesweep,43.462,95.486,0.544833798,442,7.63,,,,,,
47,47,1,Timesweep,43.484,95.488,0.544612936,459,7.885,,,,,,
48,48,1,Timesweep,43.395,96.904,0.552185668,476,8.14,2,GPC expected,GPC expected,GPC expected,8.2,2190
49,49,1,Timesweep,43.037,95.408,0.548916233,493,8.395,,,,,,
50,50,1,Timesweep,42.5,94.805,0.551711408,510,8.65,,,,,,
51,51,1,Timesweep,42.158,94.732,0.554976143,527,8.905,,,,,,
52,52,1,Timesweep,42.236,94.906,0.554970181,544,9.16,,,,,,
53,53,1,Timesweep,42.142,95.006,0.556428015,561,9.415,,,,,,
54,54,1,Timesweep,42.333,95.286,0.555726969,578,9.67,,,,,,
55,55,1,Timesweep,42.155,94.621,0.554485791,595,9.925,,,,,,
56,56,1,Timesweep,41.761,94.262,0.556968874,600,10,3,GPC expected,GPC expected,GPC expected,10,2206
57,57,1,No,42.136,95.136,0.557097208,,,,,,,,
58,58,1,No,41.694,95.519,0.563500455,,,,,,,,
59,59,1,No,41.769,96.55,0.567384775,,,,,,,,
60,60,1,No,41.362,94.913,0.564211436,,,,,,,,
61,61,1,No,41.605,95.242,0.56316541,,,,,,,,
62,62,1,No,41.394,94.749,0.5631194,,,,,,,,
63,63,1,No,40.745,95.195,0.571983823,,,,,,,,
64,64,1,No,41.246,95.244,0.566943849,,,,,,,,
65,65,1,No,41.45,95.637,0.566590336,,,,,,,,
66,66,1,No,41.504,94.443,0.560539161,,,,,,,,
67,67,1,No,41.371,95.161,0.565252572,,,,,,,,
68,68,1,No,41.127,94.71,0.565758632,,,,,,,,
69,69,1,No,40.721,96.131,0.576400953,,,,,,,,
70,70,1,No,40.499,95.493,0.575895615,,,,,,,,
71,71,1,No,41.009,95.636,0.571197039,,,,,,,,
72,72,1,No,41.084,96.09,0.572442502,,,,,,,,
73,73,1,No,40.967,95.312,0.57018004,,,,,,,,
74,74,1,No,40.622,95.962,0.576686605,,,,,,,,
75,75,1,No,40.708,95.727,0.574749026,,,,,,,,
76,76,1,No,40.53,95.997,0.577799306,,,,,,,,
77,77,1,No,40.644,96.507,0.578849203,,,,,,,,
78,78,1,No,40.731,95.642,0.574130612,,,,,,,,
79,79,1,No,40.201,94.146,0.572993011,,,,,,,,
80,80,1,No,40.466,96.507,0.580693628,,,,,,,,
81,81,1,No,40.789,95.609,0.573376983,,,,,,,,
82,82,1,No,40.515,96.53,0.580285921,,,,,,,,
83,83,1,No,40.901,95.547,0.571927952,,,,,,,,
84,84,2,No,40.095,94.403,0.575278328,,,,,,,,
85,85,2,No,40.6,95.985,0.577017242,,,,,,,,
86,86,2,No,40.406,95.126,0.575237054,,,,,,,,
87,87,2,No,40.166,94.283,0.573984706,,,,,,,,
88,88,2,No,40.746,95.477,0.573237534,,,,,,,,
89,89,2,No,41.313,96.243,0.570742807,,,,,,,,
90,90,2,No,41.196,97.048,0.575509026,,,,,,,,
91,91,2,No,40.732,95.298,0.572582845,,,,,,,,
92,92,2,No,40.504,95.23,0.574671847,,,,,,,,
93,93,2,No,41.298,97.171,0.574996655,,,,,,,,
94,94,2,No,41.163,95.461,0.568797729,,,,,,,,
95,95,2,No,40.048,94.145,0.574613628,,,,,,,,
96,96,2,No,41.24,97.116,0.575353186,,,,,,,,
97,97,2,No,40.126,94.538,0.575556919,,,,,,,,
98,98,2,No,40.302,96.213,0.581116897,,,,,,,,
99,99,2,No,40.696,95.573,0.574189363,,,,,,,,
100,100,2,No,40.532,95.675,0.57635746,,,,,,,,
