,Scannumber,Timesweep,Status,I0(5.877|4.316),I1(3.757|2.549),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0,1,No,17.218,71.441,0.8393266238341195,,,,,,,,
1,1,1,No,15.761,63.343999999999994,0.8341226740759451,,,,,,,,
2,2,1,No,14.875,59.173,0.832412305161701,,,,,,,,
3,3,1,No,13.985999999999999,56.521,0.8350347658392456,,,,,,,,
4,4,1,No,18.917,79.77199999999999,0.8419077704791991,,,,,,,,
5,5,1,No,32.025,153.245,0.8606806094815491,,,,,,,,
6,6,1,No,36.145,116.37,0.7929305949414225,,,,,,,,
7,7,1,No,37.542,117.62799999999999,0.7872275308599993,,,,,,,,
8,8,1,No,37.83,111.6,0.7740143369175627,,,,,,,,
9,9,1,No,38.07,103.24700000000001,0.7541817195657017,,,,,,,,
10,10,1,No,38.525999999999996,93.564,0.7254927108717029,,,,,,,,
11,11,1,No,39.426,85.69,0.6932664254872214,,,,,,,,
12,12,1,No,39.686,80.134,0.6698363574346303,,,,,,,,
13,13,1,No,39.775,74.3,0.6431135038133693,,,,,,,,
14,14,1,No,39.77,68.9,0.6151910982099662,,,,,,,,
15,15,1,No,39.995,65.173,0.5908837504283472,,,,,,,,
16,16,1,No,39.412,60.699,0.5671318033795175,,,,,,,,
17,17,1,No,40.24,56.976000000000006,0.5291584760834972,,,,,,,,
18,18,1,No,40.453,54.492,0.5050894320878905,,,,,,,,
19,19,1,No,39.955999999999996,51.273999999999994,0.4804904369986087,,,,,,,,
20,20,1,No,39.998000000000005,49.273,0.4588246436520339,,,,,,,,
21,21,1,No,40.095,47.674,0.43931702814951545,,,,,,,,
22,22,1,No,40.75,47.228,0.4247762626690381,,,,,,,,
23,23,1,No,40.198,45.70399999999999,0.41364723729505803,,,,,,,,
24,24,1,No,41.033,44.745,0.3886393265541773,,,,,,,,
25,25,1,No,40.578,44.663999999999994,0.39432204907755675,,,,,,,,
26,26,1,No,40.116,43.636,0.3871115592629939,,,,,,,,
27,27,1,No,40.699,44.055,0.38411833692732567,,,,,,,,
28,28,1,No,40.161,43.303999999999995,0.3817199334934416,,,,,,,,
29,29,1,No,40.211,44.406000000000006,0.39631281058115275,,,,,,,,
30,30,1,Timesweep,40.501,44.403999999999996,0.39193165780860584,0,1.0,1,GPC expected,GPC expected,GPC expected,1.0,1656.0
31,31,1,Timesweep,40.421,44.403,0.39311908354540603,17,1.2644,,,,,,
32,32,1,Timesweep,40.135,44.45399999999999,0.3981044075523762,34,1.5289,,,,,,
33,33,1,Timesweep,40.167,43.446999999999996,0.38366285359173236,51,1.7933,,,,,,
34,34,1,Timesweep,40.229,44.43600000000001,0.3964503255618569,68,2.0578,,,,,,
35,35,1,Timesweep,40.249,43.958,0.3895839968454736,85,2.3222,,,,,,
36,36,1,Timesweep,40.059,42.95399999999999,0.3782651208269311,102,2.5867,,,,,,
37,37,1,Timesweep,39.819,42.878,0.3808946312794439,119,2.8511,,,,,,
38,38,1,Timesweep,40.109,42.974,0.37777881199484953,136,3.1156,,,,,,
39,39,1,Timesweep,39.977,42.593,0.37427902863537843,153,3.38,,,,,,
40,40,1,Timesweep,40.005,41.785,0.3617326791910972,170,3.6444,,,,,,
41,41,1,Timesweep,39.55,41.787,0.3690222637024274,187,3.9089,2,GPC expected,GPC expected,GPC expected,3.8,1580.0
42,42,1,Timesweep,40.58,41.996,0.3558116646029782,204,4.1733,,,,,,
43,43,1,Timesweep,40.062,40.766,0.3448461953588775,221,4.4378,,,,,,
44,44,1,Timesweep,0.0,0.0,,238,4.7022,,,,,,
45,45,1,Timesweep,0.0,0.0,,255,4.9667,,,,,,
46,46,1,Timesweep,0.0,0.0,,272,5.2311,,,,,,
47,47,1,Timesweep,0.0,0.0,,289,5.4956,,,,,,
48,48,1,Timesweep,0.0,0.0,,306,5.76,,,,,,
49,49,1,Timesweep,0.0,0.0,,323,6.0244,,,,,,
50,50,1,Timesweep,0.0,0.0,,340,6.2889,,,,,,
51,51,1,Timesweep,0.0,0.0,,357,6.5533,3,GPC expected,GPC expected,GPC expected,6.6,
52,52,1,Timesweep,0.0,0.0,,374,6.8178,,,,,,
53,53,1,Timesweep,0.0,0.0,,391,7.0822,,,,,,
54,54,1,Timesweep,0.0,0.0,,408,7.3467,,,,,,
55,55,1,Timesweep,0.0,0.0,,425,7.6111,,,,,,
56,56,1,Timesweep,0.0,0.0,,442,7.8756,,,,,,
57,57,1,Timesweep,0.0,0.0,,459,8.14,,,,,,
58,58,1,Timesweep,0.0,0.0,,476,8.4044,,,,,,
59,59,1,Timesweep,0.0,0.0,,493,8.6689,,,,,,
60,60,1,Timesweep,0.0,0.0,,510,8.9333,,,,,,
61,61,1,Timesweep,0.0,0.0,,527,9.1978,,,,,,
62,62,1,Timesweep,0.0,0.0,,544,9.4622,4,GPC expected,GPC expected,GPC expected,9.4,
63,63,1,Timesweep,0.0,0.0,,561,9.7267,,,,,,
64,64,1,Timesweep,0.0,0.0,,578,9.9911,,,,,,
65,65,1,Timesweep,0.0,0.0,,595,10.2556,,,,,,
66,66,1,Timesweep,0.0,0.0,,612,10.52,,,,,,
67,67,1,Timesweep,0.0,0.0,,629,10.7844,,,,,,
68,68,1,Timesweep,0.0,0.0,,646,11.0489,,,,,,
69,69,1,Timesweep,0.0,0.0,,663,11.3133,,,,,,
70,70,1,Timesweep,0.0,0.0,,680,11.5778,,,,,,
71,71,1,Timesweep,0.0,0.0,,697,11.8422,,,,,,
72,72,1,Timesweep,0.0,0.0,,714,12.1067,5,GPC expected,GPC expected,GPC expected,12.2,
73,73,1,Timesweep,0.0,0.0,,731,12.3711,,,,,,
74,74,1,Timesweep,0.0,0.0,,748,12.6356,,,,,,
75,75,1,Timesweep,0.0,0.0,,765,12.9,,,,,,
76,76,1,Timesweep,0.0,0.0,,782,13.1644,,,,,,
77,77,1,Timesweep,0.0,0.0,,799,13.4289,,,,,,
78,78,1,Timesweep,0.0,0.0,,816,13.6933,,,,,,
79,79,1,Timesweep,0.0,0.0,,833,13.9578,,,,,,
80,80,1,Timesweep,0.0,0.0,,850,14.2222,,,,,,
81,81,1,Timesweep,0.0,0.0,,867,14.4867,,,,,,
82,82,1,Timesweep,0.0,0.0,,884,14.7511,,,,,,
83,83,1,Timesweep,0.0,0.0,,900,15.0,6,GPC expected,GPC expected,GPC expected,15.0,
84,84,1,No,0.0,0.0,,,,,,,,,
85,85,1,No,0.0,0.0,,,,,,,,,
86,86,1,No,0.0,0.0,,,,,,,,,
87,87,1,No,0.0,0.0,,,,,,,,,
88,88,1,No,0.0,0.0,,,,,,,,,
89,89,1,No,0.0,0.0,,,,,,,,,
90,90,1,No,0.0,0.0,,,,,,,,,
91,91,1,No,0.0,0.0,,,,,,,,,
92,92,1,No,0.0,0.0,,,,,,,,,
93,93,1,No,0.0,0.0,,,,,,,,,
94,94,2,No,0.0,0.0,,,,,,,,,
95,95,2,No,0.0,0.0,,,,,,,,,
96,96,2,No,0.0,0.0,,,,,,,,,
97,97,2,No,0.0,0.0,,,,,,,,,
98,98,2,No,0.0,0.0,,,,,,,,,
99,99,2,No,0.0,0.0,,,,,,,,,
100,100,2,No,0.0,0.0,,,,,,,,,
101,101,2,No,0.0,0.0,,,,,,,,,
102,102,2,No,0.0,0.0,,,,,,,,,
103,103,2,No,0.0,0.0,,,,,,,,,
104,104,2,No,0.0,0.0,,,,,,,,,
105,105,2,No,0.0,0.0,,,,,,,,,
106,106,2,No,0.0,0.0,,,,,,,,,
107,107,2,No,0.0,0.0,,,,,,,,,
108,108,2,No,0.0,0.0,,,,,,,,,
109,109,2,No,0.0,0.0,,,,,,,,,
110,110,2,No,0.0,0.0,,,,,,,,,
111,111,2,No,0.0,0.0,,,,,,,,,
112,112,2,No,0.0,0.0,,,,,,,,,
113,113,2,No,0.0,0.0,,,,,,,,,
114,114,2,No,0.0,0.0,,,,,,,,,
115,115,2,No,0.0,0.0,,,,,,,,,
116,116,2,No,0.0,0.0,,,,,,,,,
117,117,2,No,0.0,0.0,,,,,,,,,
118,118,2,No,0.0,0.0,,,,,,,,,
119,119,2,No,0.0,0.0,,,,,,,,,
120,120,2,No,0.0,0.0,,,,,,,,,
121,121,2,No,0.0,0.0,,,,,,,,,
122,122,2,No,0.0,0.0,,,,,,,,,
123,123,2,No,0.0,0.0,,,,,,,,,
124,124,2,No,0.0,0.0,,,,,,,,,
125,125,2,No,0.0,0.0,,,,,,,,,
126,126,2,No,0.0,0.0,,,,,,,,,
127,127,2,No,0.0,0.0,,,,,,,,,
128,128,2,No,0.0,0.0,,,,,,,,,
129,129,2,No,0.0,0.0,,,,,,,,,
130,130,2,No,0.0,0.0,,,,,,,,,
131,131,2,No,0.0,0.0,,,,,,,,,
132,132,2,No,0.0,0.0,,,,,,,,,
133,133,2,No,0.0,0.0,,,,,,,,,
134,134,2,No,0.0,0.0,,,,,,,,,
135,135,2,No,0.0,0.0,,,,,,,,,
136,136,2,No,0.0,0.0,,,,,,,,,
137,137,2,No,0.0,0.0,,,,,,,,,
138,138,2,No,0.0,0.0,,,,,,,,,
139,139,2,No,0.0,0.0,,,,,,,,,
140,140,2,No,0.0,0.0,,,,,,,,,
141,141,2,No,0.0,0.0,,,,,,,,,
142,142,2,No,0.0,0.0,,,,,,,,,
143,143,2,No,0.0,0.0,,,,,,,,,
144,144,2,No,0.0,0.0,,,,,,,,,
145,145,2,No,0.0,0.0,,,,,,,,,
146,146,2,No,0.0,0.0,,,,,,,,,
147,147,2,No,0.0,0.0,,,,,,,,,
148,148,2,No,0.0,0.0,,,,,,,,,
149,149,2,No,0.0,0.0,,,,,,,,,
150,150,2,No,0.0,0.0,,,,,,,,,
151,151,2,No,0.0,0.0,,,,,,,,,
152,152,2,No,0.0,0.0,,,,,,,,,
153,153,2,No,0.0,0.0,,,,,,,,,
154,154,2,No,0.0,0.0,,,,,,,,,
155,155,2,No,0.0,0.0,,,,,,,,,
156,156,2,Timesweep,0.0,0.0,,0,15.0,7,GPC expected,GPC expected,GPC expected,15.0,
157,157,2,Timesweep,0.0,0.0,,17,15.1417,,,,,,
158,158,2,Timesweep,0.0,0.0,,34,15.2833,,,,,,
159,159,2,Timesweep,0.0,0.0,,51,15.425,,,,,,
160,160,2,Timesweep,0.0,0.0,,68,15.5667,,,,,,
161,161,2,Timesweep,0.0,0.0,,85,15.7083,,,,,,
162,162,2,Timesweep,0.0,0.0,,102,15.85,,,,,,
163,163,2,Timesweep,0.0,0.0,,119,15.9917,,,,,,
164,164,2,Timesweep,0.0,0.0,,136,16.1333,,,,,,
165,165,2,Timesweep,0.0,0.0,,153,16.275,,,,,,
166,166,2,Timesweep,0.0,0.0,,170,16.4167,,,,,,
167,167,2,Timesweep,0.0,0.0,,187,16.5583,8,GPC expected,GPC expected,GPC expected,16.5,
168,168,2,Timesweep,0.0,0.0,,204,16.7,,,,,,
169,169,2,Timesweep,0.0,0.0,,221,16.8417,,,,,,
170,170,2,Timesweep,0.0,0.0,,238,16.9833,,,,,,
171,171,2,Timesweep,0.0,0.0,,255,17.125,,,,,,
172,172,2,Timesweep,0.0,0.0,,272,17.2667,,,,,,
173,173,2,Timesweep,0.0,0.0,,289,17.4083,,,,,,
174,174,2,Timesweep,0.0,0.0,,306,17.55,,,,,,
175,175,2,Timesweep,0.0,0.0,,323,17.6917,,,,,,
176,176,2,Timesweep,0.0,0.0,,340,17.8333,,,,,,
177,177,2,Timesweep,0.0,0.0,,357,17.975,9,GPC expected,GPC expected,GPC expected,18.0,
178,178,2,Timesweep,0.0,0.0,,374,18.1167,,,,,,
179,179,2,Timesweep,0.0,0.0,,391,18.2583,,,,,,
