,Scannumber,Timesweep,Status,I0(5.789|4.346),I1(3.344|2.225),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0,1,No,25.939,35.6,-0.879586291276437,,,,,,,,
1,1,1,Timesweep,24.513,41.637,-0.518714265645303,0,0.01,1,GPC expected,GPC expected,GPC expected,0.01,-1377.0
2,2,1,Timesweep,26.165,44.841,-0.5052356219173508,17,0.2905,,,,,,
3,3,1,Timesweep,26.029,43.868,-0.5306245904708926,34,0.571,,,,,,
4,4,1,Timesweep,18.105,22.472,-1.078336384244948,51,0.8515,,,,,,
5,5,1,Timesweep,37.737,61.36,-0.586503587766817,60,1.0,2,GPC expected,GPC expected,GPC expected,1.0,-1603.0
6,6,1,No,36.922,60.453,-0.5755289871350291,,,,,,,,
7,7,1,No,37.797,61.517,-0.5849706344955461,,,,,,,,
8,8,1,No,37.914,61.822,-0.5820331978454152,,,,,,,,
9,9,1,No,37.719,61.049,-0.5938250689168485,,,,,,,,
10,10,1,No,35.892,58.377,-0.5860428774343407,,,,,,,,
11,11,0,End,37.446,60.63,-0.5932242292174208,,,,,,,,
12,12,0,End,37.268,61.452,-0.5644406881144632,,,,,,,,
13,13,0,End,37.348,61.008,-0.5792089616967859,,,,,,,,
14,14,0,End,36.487,59.59,-0.5795151976307558,,,,,,,,
15,15,0,End,37.226,60.534,-0.5863756616477771,,,,,,,,
16,16,0,End,36.764,60.269,-0.5735763128661264,,,,,,,,
17,17,0,End,37.739,61.302,-0.5880887968516777,,,,,,,,
18,18,0,End,37.441,59.966,-0.6106508157852455,,,,,,,,
19,19,0,End,37.353,60.763,-0.5857886959707674,,,,,,,,
20,20,0,End,36.83,59.739,-0.5903869668844184,,,,,,,,
21,21,0,End,36.918,61.123,-0.5580900037762306,,,,,,,,
22,22,0,End,36.995,60.766,-0.5705125818904904,,,,,,,,
23,23,0,End,36.976,60.693,-0.5715939959876017,,,,,,,,
24,24,0,End,36.688,60.034,-0.5764703033181267,,,,,,,,
25,25,0,End,37.171,60.372,-0.5882823846049512,,,,,,,,
26,26,0,End,36.463,60.391,-0.5575400188117516,,,,,,,,
27,27,0,End,36.802,59.961,-0.5832940929186075,,,,,,,,
28,28,0,End,37.127,60.655,-0.5790005767095372,,,,,,,,
29,29,0,End,37.682,61.63,-0.5772510135738349,,,,,,,,
30,30,0,End,36.693,60.681,-0.5598740361476346,,,,,,,,
31,31,0,End,37.57,62.569,-0.5489629102222011,,,,,,,,
32,32,0,End,38.535,64.19,-0.5486277077117536,,,,,,,,
33,33,0,End,38.972,64.04,-0.5698581366287372,,,,,,,,
34,34,0,End,38.373,63.515,-0.5585060370056318,,,,,,,,
35,35,0,End,38.137,62.647,-0.5703819175907787,,,,,,,,
36,36,0,End,38.064,63.182,-0.5541040533605439,,,,,,,,
37,37,0,End,38.332,63.197,-0.5646746794342152,,,,,,,,
38,38,0,End,38.54,63.72,-0.5602528367246027,,,,,,,,
39,39,0,End,38.104,63.337,-0.5519299601184087,,,,,,,,
40,40,0,End,38.96,64.234,-0.5646349191133389,,,,,,,,
41,41,0,End,38.68,63.434,-0.5729807406464966,,,,,,,,
42,42,0,End,37.667,61.942,-0.5686817566809723,,,,,,,,
43,43,0,End,38.551,64.262,-0.5475348851865016,,,,,,,,
44,44,0,End,38.927,65.482,-0.533515031413768,,,,,,,,
45,45,0,End,37.995,61.794,-0.5861314555782382,,,,,,,,
46,46,0,End,38.898,64.574,-0.5539198708180673,,,,,,,,
47,47,0,End,37.957,63.145,-0.5506434533318167,,,,,,,,
48,48,0,End,38.218,62.766,-0.5707336264874596,,,,,,,,
49,49,0,End,63.083,35.6,-3.571106905146361,,,,,,,,
